council,slug,rural_min_site_m2,rural_min_site_m2__multi,rural_min_site_m2__basis,road_setback_national_m_num,road_setback_national_m_num__multi,road_setback_national_m_num__basis,road_setback_regional_m_num,road_setback_regional_m_num__multi,road_setback_regional_m_num__basis,road_setback_local_m_num,road_setback_local_m_num__multi,road_setback_local_m_num__basis,separation_distance_m_num,separation_distance_m_num__multi,separation_distance_m_num__basis,sightline_x_m_num,sightline_x_m_num__multi,sightline_x_m_num__basis,ev_charging_pct_num,ev_charging_pct_num__multi,ev_charging_pct_num__basis,part_v_pct_num,part_v_pct_num__multi,part_v_pct_num__basis,public_open_space_pct_num,public_open_space_pct_num__multi,public_open_space_pct_num__basis,site_coverage_pct_num,site_coverage_pct_num__multi,site_coverage_pct_num__basis,residential_density_dph_num,residential_density_dph_num__multi,residential_density_dph_num__basis,family_flat_max_gfa_m2,family_flat_max_gfa_m2__multi,family_flat_max_gfa_m2__basis,ribbon_houses,ribbon_per_m,ribbon__basis
Carlow County Council,carlow_county_council,,,,,,,,,,,,,22.0,Y,22 m opposing first-floor habitable rooms; 2.5 m between dwellings,4.5,Y,4.5 m (national/regional 100 km/h); 2.5 m (regional 80/60 and local),,,All developments should provide facilities for the charging of battery-operated cars in accordance with the standards in S.I. No. 393/2021 EU (Energy Performance of Buildings) Regulations 2021 or as m,,,,15.0,Y,"Provide public open space on greenfield sites equating to a minimum of 15% of the total site area, a minimum 10% on large infill sites / brownfield sites and 20% on institutional lands. The areas of p",50.0,Y,50% residential; 75% industrial; 60% other employment; 66% retail; 80% town centre,,,>35 Carlow Town centre; 25-30 edge; 20-30 Tullow/Muine Bheag; villages 10-25,,,All applications for family flat development shall comply with the following criteria: A bona-fide need is demonstrated for the unit by an immediate family member; The flat shall form an integral part,,,
Cavan County Council,cavan_county_council,,,,,,,,,,,,,22.0,Y,22 m opposing rear first-floor windows; 35 m upper-floor living-room/balcony; 1 m ground-floor to boundary,,,,10.0,,Ensure all applications for car parking are accompanied with EV Charging points. Require proposed car parks to include the provision of necessary wiring and ducting to be capable of accommodating futu,,,,,,"No fixed percentage stated. The Planning Authority require that the design and type of public open space complies with the Sustainable Residential Development in Urban Areas, Guidelines for Planning A",,,No fixed numeric standard (performance-based per NPF NPO 13),,,30-35 Cavan Town core; 25-30 Virginia/self-sustaining; 17-25 medium/small towns; 8-12 villages,,,"The creation of family flats to be occupied by a member of the occupant's family is generally acceptable, provided it is integrated with the main unit, and it is possible to provide direct access to t",,,5 or more houses on any one side of a given 250 m of road frontage
Clare County Council,clare_county_council,2000,,0.2 ha (0.5 acres),,,,,,,,,,1.0,Y,1 m minimum between side walls of adjacent buildings; 11 m minimum rear garden depth,2.4,Y,2.4 m (relaxation to 2 m on very lightly trafficked roads),20.0,,"All developments should provide facilities for the charging of battery-operated cars at a rate of up to 20% of the total car parking spaces (coded/metered slow charging 220-240V, 13A single phase). Th",,,Part V as set out in Section 96 of the Planning and Development Act 2000 (as amended) applies to lands zoned for residential use or a mixture of residential and other uses. In implementing Part V the ,,,"No single local % table (per national Sustainable Residential Development guidelines). Each green space in residential developments shall have at least one native oak tree, or other naturalised tree s",,,,,,No dwellings/ha table; per Sustainable Residential Development Guidelines 2009; low-density max 20% of stock per settlement,,,,,,
Cork City Council,cork_city_council,,,,,,,,,,,,,22.0,,22 m between rear elevations (traditional minimum); lesser often appropriate in urban context,,,,20.0,,To encourage the use of Electric Vehicles (EV) developments shall provide the following minimum standards for EV charging points and infrastructure: 1. Multi-unit residential developments shall provid,,,,15.0,Y,"Public open space for residential developments will normally be required as per Table 11.11, apart from in exceptional circumstances: Greenfield Sites / areas for which a local area plan is appropriat",,,,60,,"Targets by area, e.g. City Centre 100; Outer Suburbs 35–60 dph",,,Ancillary family accommodation refers to sub-division or extension of a single unit to accommodate an immediate family member. Applications for such ancillary family accommodation shall demonstrate: 1,5,250,5 or more houses on one side of any 250 m of road frontage treated as problematic ribbon development
Cork County Council,cork_county_council,,,No fixed numeric minimum site area in Volume 1 (NPF NPO19 need/siting/design tests),,,,,,,,,,,,"A minimum clearance distance of 22 metres, in general, is required, between opposing windows in the case of apartments up to three storeys in height. In taller blocks or in instances of challenging to",,,,,,"New applications for non-residential development with more than 10 parking spaces, or applications for substantial renovation of a building with more than 10 associated parking spaces, are to provide ",20.0,Y,HOU 4-2: Lands zoned for residential / housing or lands zoned for a mixture of residential / housing and other uses... will require a mandatory 20% of which at least half must be for social housing pu,12.0,Y,"The Guidelines on Sustainable Residential Development in Urban Areas acknowledge use of the 2-2.5ha per 1,000 population standard... Generally, at least 12% to 18% of a site for development excluding ",,,,,,High 50+ (no upper); Medium A 30-50; Medium B 20-35; Medium C 5-20; village infill up to 30,80.0,,Ancillary accommodation units... can be given to building ancillary accommodation either as an extension to an existing house or as a separate dwelling unit in cases where it can be shown that such is,,,it is the policy of the Council to discourage development which would contribute to or exacerbate ribbon development (defined by Cork County Council as five or more houses on any one side of a given 2
Donegal County Council,donegal_county_council,,,,12.0,Y,National Primary Road 12.0m; National Secondary Road 10.0m (minimum setback from centre line of road) (Table 16.3: Roadside Boundaries in Rural Areas).,6.5,Y,"Regional 6.5m (minimum setback of roadside boundary from centre line of road, Table 16.3); A minimum of 25m setback will be required from centreline of carriageway on Regional Roads (Building Setback ",5.0,Y,"County Road 5.0m (minimum setback of roadside boundary from centre line of road, Table 16.3); 15m setback will be required from centreline of carriageway on Local Roads (Building Setback on Non-Nation",,,,3.0,Y,"Multiple Access: 3m* (when stop sign is erected at junction) - 9m** (when yield sign is erected at junction); Single Access: 2.4m (Table 16.5, Vision Lines at accesses to Non-National Rural Roads, out",,,"NB — in assessing car parking requirements, the Council will require that a proportion of the spaces to be provided are allocated as charging points for electric vehicles in accordance with best pract",20.0,,"It is a policy of the Council to require that 20% of — a. land zoned for residential use, or for a mixture of residential and other uses; and b. any land which is not zoned for residential use ... but",15.0,Y,"Multiple residential developments shall, in general: a. On greenfield sites, include a minimum of 15% of the overall site area reserved as public amenity area; b. In other cases, such as large infill ",,,,35,,35 units per hectare (planning/zoning capacity assumption used in the Core Strategy Settlement Hierarchy land-supply calculation: 'Gross Zoned Land Required: Based on Housing Target 2030 (units) divid,,,"RH-P-8: To consider proposals for ancillary accommodation for dependent relatives within the curtilage of an existing rural dwelling, subject to: Ancillary accommodation shall be clearly subservient t",,,"In general 5 houses on any one side of 250 metres road frontage (Definitions, item 6: Ribbon Development; applied via RH-P-9b — 'A proposed dwelling shall not create or add to ribbon development')."
Dublin City Council,dublin_city_council,,,,,,,,,,,,,22.0,,~22 m back-to-back rear first-floor windows,,,,50.0,,"All new developments must be futureproofed to include EV charging points and infrastructure. In all new developments, a minimum of 50% of all car parking spaces shall be equipped with fully functional",10.0,,"For Part V developments, a minimum 10% social housing requirement will be applied in relation to all sites that are residentially zoned or proposals where a mixed-use development, including residentia",10.0,Y,"10% of site area (most zones); 25% (Z12, Z15)",90.0,Y,Central 60–90%; Regeneration 50–60%; Conservation 45–50%; Outer 45–60%,250,Y,200–250 units per hectare; up to ~300 uph; general presumption against >300 uph,,,"For guidance and standards relating to ancillary residential accommodation including residential extensions, detached habitable rooms, porches, alterations at roof level/attics/dormers/additional floo",,,
Dún Laoghaire-Rathdown County Council,dun_laoghaire_rathdown_county_council,,,,,,,,,,,,,22.0,,circa 22 m between opposing windows,,,,,,Residential multi-unit developments both new buildings and buildings undergoing major renovations (with private car spaces including visitor car parking spaces) - a minimum of one car parking space pe,,,,15.0,Y,Table 12.8 Public Open Space Requirements for residential developments: Residential Development in new residential communities as shown in the Core strategy – figure 2.9: 15% (of site area); Residenti,,,,,,35 units/ha min (net); 50 units/ha encouraged in appropriate locations,50.0,,Built-up area (12.3.7.3): A 'family' or 'granny' flat refers to a temporary subdivision of a single dwelling... Any such extension to the main dwelling shall be subsidiary in scale relative to the mai,,,Suburban-type and/or ribbon development is not acceptable in rural areas. The Planning Authority will generally require new dwellings to be set well back from the road. The building line will be deter
Fingal County Council,fingal_county_council,1250,,"Where a connection to public wastewater infrastructure is available, the overall site area shall not be less than 0.125 hectares (Rural Clusters, 14.12.6)",,,,,,,,,,22.0,Y,22 m min between opposing rear first-floor windows (DMSO23); ~11 m rear garden depth,,,,20.0,Y,All multi-unit residential developments shall incorporate EV charging points at 20% of the proposed parking spaces and appropriate infrastructure (e.g. ducting) to allow for future fit out of a chargi,,,,15.0,Y,Overall standard 2.5 hectares per 1000 population; New residential development on greenfield sites/LAP lands 15% of site area; New residential development on infill/brownfield sites 10% of site area (,,,,,,,60.0,,Any such extension to the main dwelling shall be subsidiary in scale relative to the main dwelling and shall not exceed an internal floor area of 60 sq. m. (14.10.3),,,"The location of any proposed new dwelling should be such as to limit new entrances onto any public road. Therefore, newly constructed homes will be directed, where possible, to sites which are located"
Galway City Council,galway_city_council,2000,,Shall not normally be less than 0.2 hectares (Zoned A — Agricultural),,,,,,,,,,11.0,Y,Min 11 m between units and private open space/development-potential land above ground floor; min 1.5 m side gable to boundary,,,,10.0,,"EV recharging infrastructure is required under the EU Energy Performance Regulations, 2021... Installation of recharging points for EV for both, new buildings and existing buildings undergoing major r",,,,15.0,Y,"Communal recreation and amenity space is required at a rate of 15% of the gross site area. In small restricted infill sites, a minimum of 10% may be provided as public open space where a reduction in ",80.0,,CI zone max 0.80 (80%); I zone max 0.80 (80%),,,,,,Self-contained residential units will be considered when: The unit is an integral part of the main dwelling capable of re-assimilation into the dwelling... The unit is an addition to the existing stru,,,
